Remaining decisions,Money accumulated,Last outcome was positive,Last outcome was negative,Money accumulated > Loan,Money accumulated < Loan,Current decision,Cards chosen from deck (A),Positive last outcome (A),Negative last outcome (A),Positive cards (A),Negative cards (A),Frequency of positive cards (A),Frequency of negative cards (A),Best outcome (A),Worst outcome (A),decisions without choosing (A),Won money (A),Lost money (A),Cards chosen from deck (B),Positive last outcome (B),Negative last outcome (B),Positive cards (B),Negative cards (B),Frequency of positive cards (B),Frequency of negative cards (B),Best outcome (B),Worst outcome (B),decisions without choosing (B),Won money (B),Lost money (B),Cards chosen from deck (C),Positive last outcome (C),Negative last outcome (C),Positive cards (C),Negative cards (C),Frequency of positive cards (C),Frequency of negative cards (C),Best outcome (C),Worst outcome (C),decisions without choosing (C),Won money (C),Lost money (C),Cards chosen from deck (D),Positive last outcome (D),Negative last outcome (D),Positive cards (D),Negative cards (D),Frequency of positive cards (D),Frequency of negative cards (D),Best outcome (D),Worst outcome (D),decisions without choosing (D),Won money (D),Lost money (D),Selected deck,Time
68,800,True,False,False,True,32,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,29,300,150,2,False,True,1,1,0.5,0.5,100,-1150,27,200,1250,11,True,False,11,0,1.0,0.0,50,0,7,550,150,16,True,False,14,2,0.875,0.125,50,-200,0,800,500,D,180.0
67,850,True,False,False,True,33,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,30,300,150,2,False,True,1,1,0.5,0.5,100,-1150,28,200,1250,11,True,False,11,0,1.0,0.0,50,0,8,550,150,17,True,False,15,2,0.8823529411764706,0.11764705882352941,50,-200,0,850,500,D,100.0
66,900,True,False,False,True,34,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,31,300,150,2,False,True,1,1,0.5,0.5,100,-1150,29,200,1250,11,True,False,11,0,1.0,0.0,50,0,9,550,150,18,True,False,16,2,0.8888888888888888,0.1111111111111111,50,-200,0,900,500,D,171.0
65,950,True,False,False,True,35,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,32,300,150,2,False,True,1,1,0.5,0.5,100,-1150,30,200,1250,11,True,False,11,0,1.0,0.0,50,0,10,550,150,19,True,False,17,2,0.8947368421052632,0.10526315789473684,50,-200,0,950,500,D,89.0
64,1000,True,False,True,False,36,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,33,300,150,2,False,True,1,1,0.5,0.5,100,-1150,31,200,1250,11,True,False,11,0,1.0,0.0,50,0,11,550,150,20,True,False,18,2,0.9,0.1,50,-200,0,1000,500,D,178.0
63,1050,True,False,True,False,37,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,34,300,150,2,False,True,1,1,0.5,0.5,100,-1150,32,200,1250,11,True,False,11,0,1.0,0.0,50,0,12,550,150,21,True,False,19,2,0.9047619047619048,0.09523809523809523,50,-200,0,1050,500,D,82.0
62,1100,True,False,True,False,38,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,35,300,150,2,False,True,1,1,0.5,0.5,100,-1150,33,200,1250,11,True,False,11,0,1.0,0.0,50,0,13,550,150,22,True,False,20,2,0.9090909090909091,0.09090909090909091,50,-200,0,1100,500,D,185.0
61,1150,True,False,True,False,39,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,36,300,150,2,False,True,1,1,0.5,0.5,100,-1150,34,200,1250,11,True,False,11,0,1.0,0.0,50,0,14,550,150,23,True,False,21,2,0.9130434782608695,0.08695652173913043,50,-200,0,1150,500,D,87.0
60,1200,True,False,True,False,40,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,37,300,150,2,False,True,1,1,0.5,0.5,100,-1150,35,200,1250,11,True,False,11,0,1.0,0.0,50,0,15,550,150,24,True,False,22,2,0.9166666666666666,0.08333333333333333,50,-200,0,1200,500,D,195.0
59,1250,True,False,True,False,41,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,38,300,150,2,False,True,1,1,0.5,0.5,100,-1150,36,200,1250,11,True,False,11,0,1.0,0.0,50,0,16,550,150,25,True,False,23,2,0.92,0.08,50,-200,0,1250,500,D,85.0
